segment_id,chainage_mid_m,structure_dominant_type,mean_consensus_percentile_s2,mean_percentile_range_active,max_percentile_range_active,overall_stability_category
NH44_SEG_001,250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_002,750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_003,1250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_004,1750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_005,2250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_006,2750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_007,3250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_008,3750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_009,4250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_010,4750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_011,5250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_012,5750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_013,6250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_014,6750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_015,7250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_016,7750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_017,8250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_018,8750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_019,9250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_020,9750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_021,10250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_022,10750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_023,11250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_024,11750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_025,12250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_026,12750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_027,13250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_028,13750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_029,14250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_030,14750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_031,15250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_032,15750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_033,16250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_034,16750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_035,17250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_036,17750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_037,18250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_038,18750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_039,19250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_040,19750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_041,20250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_042,20750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_043,21250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_044,21750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_045,22250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_046,22750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_047,23250.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_048,23750.0,Tunnel,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_049,24250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_050,24750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_051,25250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_052,25750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_053,26250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_054,26750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_055,27250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_056,27750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_057,28250.0,Bridge,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_058,28750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_059,29250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_060,29750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_061,30250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_062,30750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_063,31250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_064,31750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_065,32250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_066,32750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_067,33250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_068,33750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_069,34250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_070,34750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_071,35250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_072,35750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_073,36250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_074,36750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_075,37250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_076,37750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_077,38250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_078,38750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_079,39250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_080,39750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_081,40250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_082,40750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_083,41250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_084,41750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_085,42250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_086,42750.0,Bridge,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_087,43250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_088,43750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_089,44250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_090,44750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_091,45250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_092,45750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_093,46250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_094,46750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_095,47250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_096,47750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_097,48250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_098,48750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_099,49250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_100,49750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_101,50250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_102,50750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_103,51250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_104,51750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_105,52250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_106,52750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_107,53250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_108,53750.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
NH44_SEG_109,54250.0,Open Road,50.32,0.0,0.0,STABLE_CONSENSUS
